"filename", "language", "vue", "TypeScript", "JavaScript", "Less", "XML", "comment", "blank", "total"
"f:\gcrypt\gcrypt\src\utils\sleep.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 2, 10
"f:\gcrypt\gcrypt\src\utils\timeUtils.ts", "TypeScript", 0, 170, 0, 0, 0, 39, 24, 233
"f:\gcrypt\gcrypt\src\utils\toLegalRouterPath.ts", "TypeScript", 0, 5, 0, 0, 0, 4, 3, 12
"f:\gcrypt\gcrypt\src\utils\utils.ts", "TypeScript", 0, 394, 0, 0, 0, 185, 21, 600
"f:\gcrypt\gcrypt\src\views\About\AboutView.vue", "vue", 115, 0, 0, 0, 0, 1, 9, 125
"f:\gcrypt\gcrypt\src\views\Home\HomeView.vue", "vue", 17, 0, 0, 0, 0, 0, 6, 23
"f:\gcrypt\gcrypt\src\views\Settings\SettingsView.vue", "vue", 89, 0, 0, 0, 0, 7, 11, 107
"f:\gcrypt\gcrypt\src\views\StoreMgr\ActionToolBar.vue", "vue", 31, 0, 0, 0, 0, 1, 6, 38
"f:\gcrypt\gcrypt\src\views\StoreMgr\DialogMgr.vue", "vue", 107, 0, 0, 0, 0, 3, 6, 116
"f:\gcrypt\gcrypt\src\views\StoreMgr\StoreMgr.vue", "vue", 195, 0, 0, 0, 0, 2, 22, 219
"Total", "-", 2995, 1933, 179, 183, 6, 698, 649, 6643
